Temperature,Temperature2,Luminosity,Infrared,Distance,PIR,Humidity,CreatedAt,Source
24.77,24.67,63.96,0,400,0,11,01/03/2020 10:22:01,FlashLight
24.77,24.67,64.06,0,55,0,11,01/03/2020 10:22:02,FlashLight
24.77,24.67,64.06,0,71.52,0,11,01/03/2020 10:22:03,FlashLight
24.44,24.34,63.18,0,56,1,11,01/03/2020 10:22:04,FlashLight
24.12,25.02,69.14,0,64,1,11,01/03/2020 10:22:05,FlashLight
23.8,23.7,65.62,0,33,1,11,01/03/2020 10:22:06,FlashLight
23.8,23.7,66.41,0,32,1,11,01/03/2020 10:22:07,FlashLight
24.77,24.67,68.85,0,34,1,11,01/03/2020 10:22:08,FlashLight
24.77,24.67,69.14,0,65,1,11,01/03/2020 10:22:09,FlashLight
24.44,24.34,67.58,0,32,1,11,01/03/2020 10:22:10,FlashLight
23.8,23.7,61.91,0,56,1,12,01/03/2020 10:22:11,FlashLight
24.12,24.02,54.79,0,43,1,12,01/03/2020 10:22:12,FlashLight
23.48,23.38,90.33,0,11.61,1,12,01/03/2020 10:22:13,FlashLight
24.44,24.34,100,0,10.78,1,12,01/03/2020 10:22:14,FlashLight
24.12,24.02,100,0,43,1,12,01/03/2020 10:22:15,FlashLight
23.48,23.38,83.59,0,76,1,12,01/03/2020 10:22:16,FlashLight
24.12,24.02,79.49,0,22,1,12,01/03/2020 10:22:17,FlashLight
23.48,23.38,84.18,0,34,1,12,01/03/2020 10:22:18,FlashLight
24.77,24.67,88.38,0,400,0,12,01/03/2020 10:22:19,FlashLight
23.48,24.38,87.6,0,25,0,12,01/03/2020 10:22:20,FlashLight
23.48,23.38,79,0,54,1,12,01/03/2020 10:22:21,FlashLight
23.48,23.38,84.67,0,54,1,12,01/03/2020 10:22:22,FlashLight
23.48,23.38,87.6,0,400,1,12,01/03/2020 10:22:23,FlashLight
24.77,24.67,60.94,0,78.83,1,12,01/03/2020 10:22:24,FlashLight
23.48,23.38,95.31,0,73.24,1,13,01/03/2020 10:22:25,FlashLight
23.48,23.38,92.77,0,73.64,1,13,01/03/2020 10:22:26,FlashLight
23.48,23.38,93.16,0,73.86,1,13,01/03/2020 10:22:27,FlashLight
23.48,23.38,84.77,0,33,1,13,01/03/2020 10:22:28,FlashLight
23.8,23.7,88.67,0,34,1,13,01/03/2020 10:22:29,FlashLight
24.77,24.67,87.11,0,68.15,1,13,01/03/2020 10:22:30,FlashLight
24.77,24.67,86.23,0,66.11,1,13,01/03/2020 10:22:31,FlashLight
